 ====================>     TALLY 1: REACTION_RATES     <====================

 Cell 2
   Total Material
     (n,2n)                               0.00607223 +/- 1.83464e-08
     (n,3n)                               0 +/- 0
     (n,elastic)                          0.0130998 +/- 1.20426e-07
     Absorption Rate                      0.000395642 +/- 2.12441e-09
     (n,gamma)                            2.11985e-08 +/- 1.24988e-13
     (n,Xt)                               0.000257151 +/- 1.36212e-10
     Fission Rate                         0 +/- 0
     (n,n1)                               0 +/- 0
     (n,n2)                               0 +/- 0
     (n,n3)                               0 +/- 0
     (n,n4)                               0 +/- 0
     (n,n5)                               0 +/- 0
     (n,n6)                               0 +/- 0
     (n,n7)                               0 +/- 0
     (n,n8)                               0 +/- 0
     (n,n9)                               0 +/- 0
     (n,n10)                              0 +/- 0
     (n,n11)                              0 +/- 0
     (n,n12)                              0 +/- 0
     (n,n13)                              0 +/- 0
     (n,n14)                              0 +/- 0
     (n,n15)                              0 +/- 0
     (n,n16)                              0 +/- 0
     (n,n17)                              0 +/- 0
     (n,n18)                              0 +/- 0
     (n,n19)                              0 +/- 0
     (n,n20)                              0 +/- 0
     (n,n21)                              0 +/- 0
     (n,n22)                              0 +/- 0
     (n,n23)                              0 +/- 0
     (n,n24)                              0 +/- 0
     (n,n25)                              0 +/- 0
     (n,n26)                              0 +/- 0
     (n,n27)                              0 +/- 0
     (n,n28)                              0 +/- 0
     (n,n29)                              0 +/- 0
     (n,n30)                              0 +/- 0
     (n,n31)                              0 +/- 0
     (n,n32)                              0 +/- 0
     (n,n33)                              0 +/- 0
     (n,n34)                              0 +/- 0
     (n,n35)                              0 +/- 0
     (n,n36)                              0 +/- 0
     (n,n37)                              0 +/- 0
     (n,n38)                              0 +/- 0
     (n,n39)                              0 +/- 0
     (n,n40)                              0 +/- 0
     (n,nc)                               0 +/- 0
 ================>     TALLY 2: SPECIFIC_SCATTER_EOUT     <=================

 Cell 2
   Incoming Energy [14000000, 14200000)
     Outgoing Energy [1000, 1009.7508192781079)
       Total Material
         (n,2n)                               4.4e-09 +/- 7.15203e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
         (n,n5)                               0 +/- 0
         (n,n6)                               0 +/- 0
         (n,n7)                               0 +/- 0
         (n,n8)                               0 +/- 0
         (n,n9)                               0 +/- 0
         (n,n10)                              0 +/- 0
         (n,n11)                              0 +/- 0
         (n,n12)                              0 +/- 0
         (n,n13)                              0 +/- 0
         (n,n14)                              0 +/- 0
         (n,n15)                              0 +/- 0
         (n,n16)                              0 +/- 0
         (n,n17)                              0 +/- 0
         (n,n18)                              0 +/- 0
         (n,n19)                              0 +/- 0
         (n,n20)                              0 +/- 0
         (n,n21)                              0 +/- 0
         (n,n22)                              0 +/- 0
         (n,n23)                              0 +/- 0
         (n,n24)                              0 +/- 0
         (n,n25)                              0 +/- 0
         (n,n26)                              0 +/- 0
         (n,n27)                              0 +/- 0
         (n,n28)                              0 +/- 0
         (n,n29)                              0 +/- 0
         (n,n30)                              0 +/- 0
         (n,n31)                              0 +/- 0
         (n,n32)                              0 +/- 0
         (n,n33)                              0 +/- 0
         (n,n34)                              0 +/- 0
         (n,n35)                              0 +/- 0
         (n,n36)                              0 +/- 0
         (n,n37)                              0 +/- 0
         (n,n38)                              0 +/- 0
         (n,n39)                              0 +/- 0
         (n,n40)                              0 +/- 0
         (n,nc)                               0 +/- 0
     Outgoing Energy [1009.7508192781079, 1019.5967170328112)
       Total Material
         (n,2n)                               4.9e-09 +/- 6.74125e-10
         (n,n1)                               0 +/- 0
         (n,n2)                               0 +/- 0
         (n,n3)                               0 +/- 0
         (n,n4)                               0 +/- 0
