x_position(cm),flux_mean,flux_std
-9.331300000000000705e-02,9.900695175219794558e-03,1.424417819481837382e-05
-9.293899999999999384e-02,9.907132848820894566e-03,1.363266606840261094e-05
-9.256500000000000838e-02,9.901704228496725768e-03,1.343555452429912836e-05
-9.219099999999999517e-02,9.899181477616605940e-03,1.332671388948912141e-05
-9.181700000000000972e-02,9.893612009388848619e-03,1.243340803952211225e-05
-9.144299999999999651e-02,9.893767978074322414e-03,1.293887615434771762e-05
-9.106900000000001105e-02,9.888086385959079724e-03,1.351598752643618949e-05
-9.069499999999999784e-02,9.890140875571896625e-03,1.301627901653241305e-05
-9.032100000000001239e-02,9.888773117640583046e-03,1.270150512471001671e-05
-8.994699999999999918e-02,9.894703474868720219e-03,1.311510942315596671e-05
-8.957299999999999984e-02,9.896017579554532845e-03,1.300059456912386563e-05
-8.919900000000000051e-02,9.898902778256099544e-03,1.303030854532979775e-05
-8.882499999999998730e-02,9.900302231999011729e-03,1.247737206039983263e-05
-8.845100000000000184e-02,9.900281809758128965e-03,1.300835376269922700e-05
-8.807699999999998863e-02,9.899280031432765997e-03,1.309141008267941325e-05
-8.770300000000000318e-02,9.897580311072887507e-03,1.369410606940202194e-05
-8.732899999999998997e-02,9.897131575563117983e-03,1.344435745539075400e-05
-8.695500000000000451e-02,9.897344000286663682e-03,1.303828997839926849e-05
-8.658099999999999130e-02,9.900203132113172613e-03,1.213008462697472491e-05
-8.620700000000000585e-02,9.899610742010758052e-03,1.197818830500818760e-05
-8.583299999999999264e-02,9.897908764813147242e-03,1.235632876448850626e-05
-8.545900000000000718e-02,9.895289062251011458e-03,1.206905760389790642e-05
-8.508499999999999397e-02,9.890957324810999846e-03,1.274046878838060843e-05
-8.471100000000000851e-02,9.894339761927084184e-03,1.256820901078402775e-05
-8.433699999999999530e-02,9.897320493756663409e-03,1.123654089173764807e-05
-8.396300000000000985e-02,9.890791875909821576e-03,1.222780203846369213e-05
-8.358899999999999664e-02,9.894904048943917868e-03,1.265769283597911366e-05
-8.321500000000001118e-02,9.890271272818490847e-03,1.205332180916261517e-05
-8.284099999999999797e-02,9.893695517840252543e-03,1.225380121718415594e-05
-8.246700000000001252e-02,9.890400288075003668e-03,1.224218505313431249e-05
-8.209299999999999931e-02,9.890538085708285021e-03,1.255201338610634871e-05
-8.171899999999999997e-02,9.892302036499201617e-03,1.218493495885236584e-05
-8.134500000000000064e-02,9.885073042428464685e-03,1.279667692106208354e-05
-8.097100000000000131e-02,9.886389434510917465e-03,1.287408595124175726e-05
-8.059700000000000197e-02,9.891427015510694670e-03,1.314533634988064130e-05
-8.022299999999998876e-02,9.881189776055197826e-03,1.204112232771224544e-05
-7.984900000000000331e-02,9.885401984459363245e-03,1.220012176624780273e-05
-7.947499999999999010e-02,9.889008582852661447e-03,1.236962149133569635e-05
-7.910100000000000464e-02,9.887990062611181144e-03,1.283991143265351181e-05
-7.872699999999999143e-02,9.885918571709307115e-03,1.133162071258241458e-05
-7.835300000000000598e-02,9.884908541813400978e-03,1.246883671355520006e-05
-7.797899999999999276e-02,9.881507604009062695e-03,1.245028857309126440e-05
-7.760500000000000731e-02,9.889610272120423484e-03,1.325053937088391435e-05
-7.723099999999999410e-02,9.889034427928501333e-03,1.207387396998555041e-05
-7.685700000000000864e-02,9.898009186626401112e-03,1.328382185739822213e-05
-7.648299999999999543e-02,9.900495796917785710e-03,1.389968230945974087e-05
-7.610900000000000998e-02,9.894610493521208139e-03,1.350110296768539668e-05
-7.573499999999999677e-02,9.897605714485143216e-03,1.331437552323706863e-05
-7.536100000000001131e-02,9.898559429309250826e-03,1.427982406859761956e-05
-7.498699999999999810e-02,9.895978390573960046e-03,1.407700075185813071e-05
-7.461299999999999877e-02,9.897502045690264802e-03,1.404796622983182299e-05
-7.423899999999999944e-02,9.898094487500556926e-03,1.357850461096345348e-05
-7.386500000000000010e-02,9.897459884536011221e-03,1.351761031253195204e-05
-7.349100000000000077e-02,9.896523793535715388e-03,1.343423382010911343e-05
-7.311700000000000144e-02,9.893032840403132022e-03,1.375065382677226484e-05
-7.274300000000000210e-02,9.898696574634418405e-03,1.334708125907454860e-05
-7.236900000000000277e-02,9.900572340678955377e-03,1.329516455909559028e-05
-7.199500000000000344e-02,9.901272166767848687e-03,1.393301511297814689e-05
-7.162099999999999023e-02,9.907157004813583329e-03,1.313033869160992571e-05
-7.124700000000000477e-02,9.904636840789697930e-03,1.350133517066311172e-05
-7.087299999999999156e-02,9.899592738161452563e-03,1.261924278287437835e-05
-7.049900000000000611e-02,9.894239556590363194e-03,1.294417916099663790e-05
-7.012499999999999289e-02,9.891859439914092375e-03,1.350377176830924947e-05
-6.975100000000000744e-02,9.891917719134323342e-03,1.313509429016127430e-05
-6.937699999999999423e-02,9.893260740564631395e-03,1.364518519281265939e-05
-6.900300000000000877e-02,9.892236007020757671e-03,1.311957138023491069e-05
-6.862899999999999556e-02,9.897766732888915037e-03,1.270404728721568164e-05
